Month,Date,Year,Time,Location,Operator,Route,Type,Aboard,Fatalities,Summary
6,6/3/06,2006,16:00,"Yaocun, China",Military - Chinese Air Force,,KJ-2000,40,40,"Witnesses said they heard an explosion and when they reached the crash site they found the plane had crashed into a mountain and the main body of the plane had destroyed a section of bamboo forest, while the tail had dropped onto nearby fields. The plane crashed about 125 miles southwest of Shanghai. Caused by icing, after flying through several icy regions and the plane being overloaded.."
6,6/8/06,2006,13:15,"Mullan, Idaho",Air Taxi - MajestiAlliance,"Coeur d'Alene, ID - Missoula, MT",Cessna TU206G,2,2,"While following a highway through a mountain pass in fog the plane struck the mountain. The pilot's VFR flight into IMC and his subsequent failure to maintain terrain clearance. The pilot's inadequate inflight planning/decision, mountain obscuration, trees and high terrain were factors."
6,6/11/06,2006,18:30,"Abí©chí©, Chad",Military - Chadian Air Force,N'djamena - Abí©chí©,Lockheed C-130 Hercules,7,5,"The military plane crashed into trees past the end of the runway as it tried to land at night at an unlit airport. Chadian rebels however, claim to have shot it down with a surface-to-air missile. The pilot and copilot survived."
6,6/21/06,2006,11:30,"Jumla, Napal",Yeti Airlines,Surkhet - Jumla,de Havilland Canada DHC-6 Twin Otter 300,9,9,The plane crashed into a mountain on the east side of the airport after the pilot executed a go-around. The accident happened 1 kilometer from the airport.
6,6/30/06,2006,19:00,"Vilanculos, Mozambique",Naturelink,Polokwane - Vilanculos,Cessna 208B Grand Caravan,3,1,"On final approach, aircraft hit 2 trees and crashed in a field and was destroyed. The pilot died a short time after being rescued."
7,7/2/06,2006,11:00,"Hamburg, Germany",Himmelsschreiber,Sightseeing,de Havilland DHC-2 Beaver,6,5,The single-engine sightseeing seaplane came down in a rail yard and burst into flames. The pilot tried to make an emergency landing after the engine failed. A passenger and the pilot survived with serious burns.
7,7/7/06,2006,15:35,"Sake, DemocratiRepubliCongo",Mango Airlines,Goma - Kisangani,Antonov AN-12B,5,5,The cargo plane had engine failure and struck a hill as it lost altitude.
7,7/9/06,2006,7:44,"Irkutsk, Russia",Sibir (S7),Moscow - Irkutsk,Airbus A-310-324ET,203,128,"The plane was landing at Irkutsk International Airport in rain and low visibility when it veered off and overran the runway, struck a building and burst into flames. It was reported the plane was traveling at a high rate of speed when it landed. Crew error. The mistaken and uncontrolled actions by the crew at the stage of slowing down after landing. The unintentional and uncontrolled movement in one of the engines, which was not detected by the crew in time."
7,7/10/06,2006,12:05,"Multan, Pakistan",Pakistan International Airlines,Multan - Lahore,Fokker F-27 Friendship 200,45,45,"The plane lost an engine during take off, struck power lines and crashed into a wheat field bursting into flames."
8,8/3/06,2006,,"Bukavu, DemocratiRepubliCongo",Tracep,Lugushwa - Bukavu,Antonov AN-28,17,17,The aircraft was flying in low cloud and poor weather conditions as it approached the airport at Bukavu when it clipped a mountainside and plunged into the forest in flames 9 miles short of the runway.
8,8/4/06,2006,9:30,"Near Pownal, Vermont",AirNow,"Binghamton, NY - Benningham, VT",Embraer 110 Bandeirante,1,1,"The cargo plane was flying to Benningham for weekly maintenance but was diverted to Albany because of poor visibility. After an aborted first try the plane circled for another attempt but struck a mountainside. The pilot's misinterpretation of the airplane's position relative to the final approach fix, which resulted in the displacement of the descent profile by 6 nautical miles and the subsequent controlled flight into rising terrain. Contributing to the accident were the low clouds."
8,8/13/06,2006,20:15,"Near Piacenza, Italy",Air Algerie,"Algiers, Algeria - Frankfurt, Germany",Lockheed L-100-30 Hercules,3,3,The cargo plane crashed while en route in the vicinity of thunderstorms.
8,8/22/06,2006,15:30,"Near Donetsk, Ukraine",Pulkovo Airlines,Anapa - St. Petersburg,Tupolev Tu-154M,170,170,"The plane disappeared from radar shortly after making a distress call. A distress call was made at FL330 and again at FL100. The aircraft was reportly on fire before it crashed. The plane crashed in a field, 30 miles North of Donetsk and broke-up. Weather forecasters reported thunderstorms and lightning in the area at the time of the crash. The crew pushed the aircraft beyond its limits as they attempted to fly around a thunder storm. The crew steered the aircraft under manual control into an angle of attack that was beyond critical which resulted in  a stall and the subsequent transition into a flat spin and a collision with the ground. The crew's steering of the aircraft under manual control into an angle of attack that was beyond critical which resulted in a stall and subsequent transition into a flat spin and a collision with the ground."
8,8/27/06,2006,6:07,"Lexington, Kentucky",Comair,"Lexington, KY - Atlanta, GA",Canadair CRJ-200ER,50,49,"The jet commuter was the third of three airplanes to take off that morning. The previous two planes took off from Runway 22 without any problems. The flightcrew was cleard to taxi to Runway 22 and subsequently cleared for takeoff. However, flight 5191 used Runway 26, which is about half the length of Runway 22. The plane accelerated to 137 knots befoe it ran off the end of the runway, ran through an airport perimeter fence and impacted trees on an adjacent horse farm and burst into flames. The takeoff sequence took about 36 seconds.  The aircraft was still on the ground as the plane ran off the runway.The plane came to rest about 1,800 feet past the runway. It was dark with light rain at the time of the accident. The copilot was at the controls but it was the captain who taxied the plane into position for take off. The copilot was the lone survivor. The flight crew's failure to use available cues and aids to identify the airplane's location on the airport surface during taxi and their failure to cross check and verify that the airplane was on the correct runway before takeoff. Contributing to this accident were the flight crew's nonpertinent conversation during taxi, which resulted in loss of positional awareness and the Federal Aviation Administration's failure to require that all runway crossings be authorized only by specifiair trafficontrol clearances."
9,9/1/06,2006,13:45,"Mahad, Iran",Iran Air Tours,Bandar Abbas - Mashad,Tupolev Tu-154M,148,29,The plane crashed while attempting to land. The plane's left wing 5 have come into contact with the ground causing the plane to skid off the runway and catch fire.
9,9/2/06,2006,16:30,"Near Kandahar, Afghanistan",Military - Royal Air Force,,British Aerospace Nimrod MR-2,14,14,The NATO supporting aircraft crashed 12 miles west of Kandahar after the crew reported technical problems. The accident was most likely caused by an ignited fuel leak.
9,9/11/06,2006,17:30,"Vladikavkaz, Russia",Military - Russian Army,Gizel - Khankala,Mi-8 helicopter,15,12,"Eleven high ranking officers were killed when the helicopter crashed to the ground, split in two and caught fire. A North Ossetian militant group called Kataib al-Khoul claimed responsibility for shooting down the helicopter."
9,9/17/06,2006,10:15,"Vandeikya, Nigeria",Military - Nigerian Air Force,Abuja - Obudu,Dornier 228,18,13,"The military plane crashed en route less than 20 minutes from the end of a one-hour flight, 18 nm from its destination. Ten top ranking military officials were killed in the crash. The weather was poor at the time of the accident."
9,9/29/06,2006,15:59,"Near Sao Felix do Araguaia , Brazil",Gol Airlines / Private,Manaus - Brasilia,Boeing B-737-8EH /EMB-135JB,161,154,"The flight disappeared from radar at 16:50 after leaving Manaus at 15:35, scheduled to arrive at Brasilia at 18:12. While en route the jetliner collided with an Embraer EMB-135BJ Legaacy 600 business jet. The Embraer was able to land safely at Serra de Cachimbo with a damaged wing and tail. Five passengers and two crew members were not injured. The flight recorder transcript from the executive jet showed that the pilots were told by Brazilian air trafficontrol to fly at the same altitude as the Boeing 737 before the planes collided. A Brazilian Air Force investigation concluded that a switched-off transponder on the EMB-135 contributed the plane crash. The report also said flight controllers failed to alert the pilots they were on a collision course and failed to notice the transponder was turned off."
10,10/10/06,2006,7:35,"Stord, Norway",AtlantiAirways,Stavanger - Stord,BAe 146-200,16,4,"While attempting to land, the charter plane skidded off the end of the runway, slid down an embankment and caught fire. One survivor was seriously hurt, eleven others were not seriously injured."
10,10/19/06,2006,7:30,"Tashkent, Russia",Military - Russian Air Force/Uzbekistan Airways,Training/Aranchi,Antonov An-2,15,15,"The plane belonging to Uzbekistan Airways and carrying Uzbek servicemen, crashed after losing control while attempting to land in poor weather conditions. On it's final approach, fog reduced visibility and the aircraft descended below the MDA. It crashed a few miles from the airport."
10,10/29/06,2006,11:30,"Near Abuja, Nigeria",ADC Airlines,Lagos - Abuja - Sokoto,Boeing 737-2B7,105,96,The jetliner crashed into a corn field about a mile from the end of the runway while attempting to take off from Abuja. The pilot did not heed air trafficontrollers' advice to not depart in stormy weather.
11,11/17/06,2006,8:07,"Puncak Jaya, Indonesia",Trigana Air Service,Mulia - Ilaga,de Havilland Canada DHC-6 Twin Otter 300,12,12,The aircraft struck a mountain seven minutes before it was scheduled to land in the remote Indonesian province of Papua.
11,11/18/06,2006,21:00,"Near Leticia, Colombia",Aerosucre Colombia,Bogota - Leticia,Boeing 727-23F,5,5,The cargo plane was on final approach when it hit a antenna tower and crashed. Fog and poor visibility prevailed at the time of the accident.
11,11/27/06,2006,7:20,"Tehran, Iran",Military - Iranian Revolutionary Guard Corps Air Force,Tehran - Shiraz,Antonov 74T-200,38,38,"The aircraft crashed after losing the right engine during a critical point in the takeoff. The plane stalled, veered to the right and crashed in flames. Three survivors later died in the hospital."
12,12/10/06,2006,2:00,"Cajon Pass, California",Air ambulance - Mercy Air Services,Loma Linda - Victorville,Bell 412,3,3,"The air ambulance crashed on a repositioning flight from Loma Linda Medical Center to its home base in Victorville. The pilot and two crew members were killed. No patients were aboard. The pilot's inadvertent encounter with instrument meteorological conditions and subsequent failure to maintain terrain clearance. Contributing to the accident were the dark night conditions, fog, and mountainous terrain."
12,12/14/06,2006,18:32,"Near Port Heiden, Alaska",PenAir,Port Heiden - King Salmon,Piper PA-32-301 Cherokee,2,2,"The charter crashed in hilly terrain about 18 northeast of Port Heiden. The weather at the time of the crash was mostly cloudy with winds gusting to 29 mph and 6 miles visibility. The pilot's failure to maintain control of the airplane during cruise flight, which resulted in an uncontrolled descent, and an in-flight collision with snow-covered terrain. Contributing to the accident were the pilot's spatial disorientation, and dark night conditions."
12,12/16/06,2006,3:54,"Mbeya, Tanzania",Air Charter - Tanzanian Air Services,Mbeya - Dar es Salaam,Cessna 310R,6,3,"The pilot chose to initiate his take off from about 200 metres beyond the threshold of Runway 31 because he was not certain of the condition of the runway behind that position. He chose to apply full power on brakes and leaned the mixtures before initiating the take off roll. As the aircraft rolled for take off the pilot reported to have felt acceleration/deceleration effects caused by undulations and wetness of the runway. The target rotation speed was 105kt. However, the pilot had to rotate at around 96kt when it became imminent that the remaining runway length was not enough to stop the aircraft. Shortly after take off the pilot felt a complete lack of acceleration and had to lower the nose in order to increase airspeed. As he did so, the aircraft collided with a roof of a house located about 500 metres beyond the threshold of Runway 13. The aircraft subsequently collided with 3 more houses and an electripole with live cables and broke up."
1,1/1/07,2007,14:07,"Off Parepare, Indonesia",Adam Air,"Surabaya, East Java - Manado, Indonesia",Boeing B-737-4Q8,102,102,"While flying at FL350 the airliner went missing between Surabaya and Manado in poor weather conditions after the pilot reported strong winds. Wreckage was found 5 miles south of Parepare. The accident was caused by the autopilot being accidentally disconnected. The two pilots had been trying to fix a problem with the plane's navigation instruments when they disconnected the autopilot and lost control of the plane. Without the autopilot, the plane went out of control, listing to the right and pitching down."
1,1/5/07,2007,12:02,"Matabwe, Tanzania",DJB Air Charter,Dar es Salaam - Matabwe,Piper PA-31-310,10,1,"The pilot attempted to land using full flaps and touched down about halfway down the runway. He aborted the landing and applied power to take off. The aircraft struck trees beyond the end of the runway. The airport  is served by a 2,300 foot runway with a significant downslope on one end. The runway had been exposed to recent heavy rain."
1,1/9/07,2007,12:00,"Near Balad Air Base, Iraq",Moldovan Aeriantur-M Air Cargo,"Adana, Turkey - Balad Air Base, Iraq",Antonov 26B-100,35,34,"The cargo plane crashed in fog while attempting to land for a second time at Balad Air Base. After the first attempt to land was aborted, the plane crashed 2.5km short of the runway.The plane was carrying Turkish construction workers."
1,1/10/07,2007,23:15,"Zapotlanejo, Mexico",Ameristar Jet Charter,"Laredo, TX - Guadalajara, Mexico",Learjet 24F,2,2,"The cargo plane crashed and burst into flames in a rural hilly area about 15 miles from Miguel Hidalgo Airport, Guadalajara, Mexico."
1,1/12/07,2007,11:00,"Van Nuys, California",SunQuest Executive Air Charter,Van Nuys - Long Beach,Cessna Citation 525,2,2,"The business jet crashed about a half-mile north of a runway while attempting to take off for a positioning flight to Long Beach. The plane had an emergency on board and was trying to return to the airport. Both the pilot and copilot were killed. The pilot's failure to maintain an adequate airspeed during the initial climb resulting in an inadvertent stall/spin. Contributing to the accident were the second pilots inadequate preflight, failure to properly secure the front baggage door, and the front left baggage door opening in flight, which likely distracted the first pilot."
1,1/20/07,2007,,"Near Baghdad, Iraq",Military - US Army,,Sikorsky UH-60L Black Hawk,12,12,The helicopter crashed northeast of Baghdad.
1,1/25/07,2007,11:15,"Pau, France",Regional Compagnie Aerienne Europeenne,Pau - Paris,Fokker 100,54,0,"The crew abandoned their takeoff after the loss of an engine due to bird ingestion. The jet overshot the runway and collided with a truck, killing the driver. The landing gear sheared off and the plane came to rest in a field."
2,2/6/07,2007,19:20,"East Bay Cay, Turks & Caicos Islands",Air Turks & Caicos,North Caicos - Grand Turk,Beechcraft Super King Air B200,6,1,"While on final approach, the charter aircraft crashed short of the runway, killing the pilot who was the nephew of Turks & Caicos Premier."
2,2/7/07,2007,4:01,"Belgrade, Montana",Metro Aviation,Great Falls - Bozeman,Beechcraft Super King Air B200,3,3,Crashed under unknown circumstances 15 miles north of Bozeman while attempting to land. The aircraft was on a positioning flight. The pilot's failure to maintain an adequate altitude and descent rate during a night visual approach. Dark night conditions and mountainous terrain are factors in the accident.
3,3/7/07,2007,7:14,"Yogyakarta, Indonesia",Garuda Indonesia Airlines,Jakarta - Yogyakarta,Boeing B-737-497,140,22,"While attempting to land, the plane overshot the runway, crashed through the airport barrier fence and burst into flames. The cockpit voice recorder revealed that the pilot and co-pilot were arguing over their speed and wing flap angles moments before the crash. An investigator stated the passenger jet was flying at up to 265 mph, almost double the normal landing speed, while attempting to land."
3,3/8/07,2007,15:00,"Princeville, Hawaii",Heli-USA Airways,Sightseeing,Aerospatiale AS350BA Rotocraft,7,4,"The helicopter crashed on Kauai shortly after the pilot radioed that he was having problems with the hydraulics. The helicopter hit the ground about 200 yards from it's normal landing pad. The failure of maintenance personnel to properly tighten (torque) the flight control servo lower attachment clevis, and reinstall a functioning lock washer, which resulted in a flight control disconnect and a complete loss of helicopter control. Contributing to the accident was the operator's failure to ensure its maintenance program was being executed in accordance with Federal regulations."
3,3/11/07,2007,23:20,"Hanea, Kauai, Hawaii",Inter-Island,,MDonnell Douglas 369FF Rotocraft,5,1,"The helicopter was flying low near the coast when there was a loud bang and parts, including the tail rotor, fell into the ocean. The helicopter then hit trees and a fence as it spiraled down into an open field.The fatigue failure of the tail rotor blade root fitting due to a manufacturing defect which resulted in the separation of the tail rotor system and loss of tail rotor control. A contributing factor to the accident were the trees that the helicopter struck during the autorotation."
3,3/14/07,2007,,"Fazenda Nossa Senhora de Lourdes, Brazil",,Petrolina - Salvador,Rockwell 500S Shrike Commander,4,4,"Fifteen minutes before arriving at its destination  the crew informed ATC about a technical problem and that they were losing altitude. Few minutes  later, the twin engine plane crashed into an open field."
3,3/17/07,2007,11:40,"Samara, Russia",UTAir Airlines,Surgut - Samara,Tupelov 134AK,57,6,"While attempting to land in heavy fog, the airplane contacted the ground 400 m short of the runway. The left wing hit the ground and separated from the fuselage. The plane then rolled over inverted and the fuselage broke apart. The controllers' failure to warn the crew of worsening weather and the crew's erroneous decision to land despite poor visibility."
3,3/23/07,2007,17:00,"Mogadishu, Somalia",Transaviaexport Airlines,Mogadishu - Djibouti,Ilushin Il-76TD,11,11,"The cargo plane, carrying African peacekeepers, was struck by an anti-aircraft missile shortly after taking off from Mogadishu Airport. The aircraft lost a wing into the Indian Ocean and shortly thereafter crashed in the eastern outskirts of Mogadishu."
4,4/25/07,2007,14:05,"Near Kopinang, Guyana",Air Services,Kato - Kopinang,Pilatus Britten Norman BN-2A-27 Islander,5,3,The plane landed at Kato and could not take off because of bad weather. Twenty minutes after eventually taking off the plane crashed into mountains while en route. A mother and her five-year-old son walked for about 16 hours through Guyana's jungle to safety after surviving the crash.
4,4/27/07,2007,11:34,"Shatoi, Chechnya",Military - Russian,,Mi 8,18,18,The helicopter was carrying out a missiion with two other aircraft when a rotor blade struck an object while attempting to land. Conflicting reports say the helicopter 5 have been shot down by Chechnyan rebels.
5,5/5/07,2007,,"Near Dizangue, Cameroon",Kenya Airways,"Abidjan, Ivory Coast - Douala, Cameroon - Nairobi, Kenya",Boeing B-737-8AL,114,114,"The plane crashed in a dense, swampy forested area, 5 km from Douala Airport, moments after taking off in stormy weather. The plane was just six months old."
5,5/6/07,2007,9:10,"Near El-Thamad, Egypt",Military - French Air Force,El-Gora - Santa Katarina,de Havilland Canada DHC-6 Twin Otter,9,9,"Collided with a truck while attempting to make an emergency landing on a road. French soldiers aboard were with  the Sinai's peacekeeping force, the Multinational Force & Observers."
5,5/17/07,2007,11:00,"Walikale Airstrip, Congo",Safe Air Complany,Walikale - Goma,Let 410UVP,3,3,An engine on the cargo plane caught fire shortly after taking off. An emergency return attempt to the airstrip was unsuccessful and the plane crashed into a nearby forest.
5,5/24/07,2007,17:45,"Near Pampa Hermosa, Peru",Military - Peruvian Air Force,Iquitos - Pucallpa,de Havilland Canada DHC-6 Twin Otter 300,20,13,Crashed into dense jungle shortly after taking off from Pampa Hermosa. The plane hit a hill and split in two.
6,6/3/07,2007,20:30,"Freetown, Sierra Leone",Paramount Airlilnes,Shuttle,Mi-8,22,21,The helicopter crashed and burned on the airport runway while attempting to land. It was shuttling passengers between Sierra Leone's coastal capital of Freetown and Lungi Airport.
6,6/4/07,2007,16:04,"Near Milwaukee, Wisconson",University of Michigan Health System,"Milwaukee, WI - Detroit, MI",Cessna 550 Citation II,6,6,"The pilot issued a distress signal within five minutes of taking off from General Mitchell International Airport in Milwaukee, requesting an emergency return to the airport. The plane then crashed into Lake Michigan two miles off shore. The plane was carrying an organ transplant team. The pilot reported to ATC he had runaway trim prior to the accident."
6,6/13/07,2007,,"Selenge province, Mongolia",Mongolian Defense Ministry,,Mi-8,22,15,"While en route to a forest fire, the helicopter crashed into dense forest on a mountain at an altitude of 6,100 feet."
6,6/16/07,2007,,"Vungano Hills, Malawi",Nyika Safaris,Lilongwe to Rumchi,Cessna 206,6,6,The sightseeing plane crashed in fog and poor weather while en route. Wreckage was found in a ravine by villagers. Five British tourists along with the pilot killed.
6,6/21/07,2007,,"Near Kamina, Congo",Karibu Airways,Kamina - Lubumbashi,Let 410UVP,25,1,The plane crashed shortly after taking off into a swamp coming to rest upside down. A parliment member of the DemocratiRepubliof Congo was killed.
6,6/25/07,2007,10:40,"Near Sihanoukville, Cambodia",PMT Air,Siem Reap - Sihanoukville,Antonov AN-24V,22,22,"The aircraft crashed into Phnom Damrey Mountain at an elevation of 1,640 feet, about 5 minutes from its destination of Sihanoukville."
6,6/28/07,2007,13:40,"M'Banza Congo, Angola",TAAG Angola Airlines,Luanda - M'Banza,Boeing 737-2M2,78,5,"The aircraft blew two tires on landing, causing one wing to dip and touch the runway. The plane then veered out of control, overran the runway and crashed into cars and a building."
7,7/5/07,2007,9:30,"Culiacan, Mexico",Jett Paqueteria SA,,North American CT-39A Sabreline,3,3,The aircraft missed the runway on its approach after a sightseeing trip.
7,7/5/07,2007,14:45,"Connemara, Ireland",Charter - Private,Inishmaan - Connemara,Cessna 208B Grand Caravan,9,2,"The small cargo jet blew a tire and failed to take off, barreling onto the Culiacíçn-Navolato highway and crashing into cars, coming to a stop after hitting a building."
7,7/8/07,2007,13:00,"Muncho Lake, British Columbia, Canada",Liard Air,Muncho Lake - Vancouver,de Havilland DHC-6 Twim Otter 100,5,1,The twin engine plane crashed shortly after taking off from a gravel airstrip at Muncho Lake. One passenger was killed.
7,7/17/07,2007,18:52,"Sao Paulo, Brazil",TAM (Brazil),Porto Alegre - Sao Paulo,Airbus A-320-233,187,187,"The jet airliner crashed while attempting to land in heavy rain at Congonhas airport. The plane skidded off the end of the runway across a major roadway and struck a gas station and building, bursting into flames. One hundred seventy passengers and a crew of six were aboard."
7,7/23/07,2007,13:00,"Near Shinile, Ethiopia",Djibouti Airlines,Dire Dawa - Djibouti,Antonov AN-26V,9,1,The cargo plane crashed shortly after taking off after an engine failed. The pilot was trying to return for an emergency landing.
7,7/24/07,2007,14:05,"Rudyerd Bay, Alaska",Taquan Air Service,Sightseeing,de Havilland DHC-2 MK.1 Beaver,5,5,"The single engine aircraft crashed onto a heavily forested mountain, 30 miles east of Ketchican while on a sightseeing trip over Misty Fiords. The pilot's decision to continue under visual flight rules into an area of instrument meteorological conditions. Contributing to the accident was the pilot's inadequate weather evaluation and the FAA's inadequate surveillance of the commercial air tour operator."
7,7/29/07,2007,4:22,"Moscow, Russia",Atran,Sightseeing,Antonov AN-12BP,9,9,"The cargo plane, carrying 9 tons of cargo, crashed 4 km from the runway as it was attempting to take off from Domodedovo airport. The aircraft slammed into a field shattering debris over a wide area."
8,8/5/07,2007,22:30,"Near Ruidoso, New Mexico",Southwest Medivac,Ruidoso - Albuquerque,Beechcraft King Air E-90,5,5,"The medivaflight crashed in Devil's Canyon in the Lincoln National Forest, four minutes after taking off from Ruidoso. The pilot, a male nurse, a female paramediand a 15-month-old girl and her mother were killed.The pilot's failure to maintain clearance from terrain due to spatial disorientation."
8,8/9/07,2007,12:00,"Off Moorea, French Polynesia",Air Moorea,Moorea - Papeete,de Havilland Canada DHC-6 Twin Otter 300,20,20,Soon after taking off the plane began loosing altitude and veered to the right until it crashed into the sea 1 mile beyond the runway.
8,8/16/07,2007,23:16,"Near Ketchikan, Alaska",SeaWind Aviation,Sightseeing,de Havilland Canada DHC-2 Beaver,10,6,"The float plane crashed on land into a tree, 200 feet from shore, while attempting to land. High winds were in the area at the time of the accident. The  pilot's poor decision-making and inadequate planning. To avoid the rising waves, the pilot decided to take off toward the sheltered interior of the bay, toward the rising terrain, in a direction he had never attempted before. As the pilot attempted to turn the aircraft around, the airplane hit a downdraft, which held it from climbing above the closing landscape and caused the plane to stall about 60 feet over the ground."
8,8/22/07,2007,,"Near Kirkuk, Iraq",Military - U.S. Army,Transporting troops,UH-60 Blackhawk helilcopter,14,14,Crashed most likely due to a mechanical problem while traveling with a second helicopter.
8,8/22/07,2007,0:36,"Near Curitiba, Brazil",Two Taxi Aero,Curitiba - Jundiai,Embraer EMB-110P1 Bandeirant,2,2,Crashed shortly after taking off from Curitiba
8,8/26/07,2007,16:00,"Kongolo, DemocratiRepubliCongo",Great Lakes Business Complany,Kongolo - Goma,Antonov AN-32,15,14,"The cargo plane, carrying tin ore, lost one of it's two engines eleven minutes after taking off and tried to return to the airport. Due to strong back winds and a fully loaded plane, the aircraft clipped tree tops and crashed and burned 3 km short of the runway. The plane was overloaded by 3 tons."
9,9/7/07,2007,12:00,"Goma, DemocratiRepubliCongo",Galaxy Kavatsi Airlines,Kisangi - Goma - Bukavu,Antonov AN-12BP,8,8,"The cargo plane, carrying palm oil, overshot the runway, crashed into a petrified lava flow and caught fire."
9,9/16/07,2007,15:35,"Phuket, Thailand",One-Two-Go Airlines,Bangkok - Phuket,McDonnell Douglas MD-82,130,90,"While landing in heavy rain and strong cross winds, the aircraft skidded off the runway, struck an earth embankment and caught fire. The pilot attempted to land, despite 15 warning alarms and his copilot's calls to abort the attempt. Also, the plane was traveling faster and descending more sharply than normal."
9,9/24/07,2007,,"Malemba Nkulu, DR Congo",Karibu Airways,Lubumbashi - Malemba Nkulu,Let 410,6,1,Crashed while attempting to land and came to rest in a cemetery.
10,10/4/07,2007,10:40,"Kinshasa, DR Congo",Africa One Congo,Kinshasa - Tshikapa,Antonov AN-26,22,21,"During its descent at night and in poor weather conditions, the aircraft hit the Charleys Peak located 25 miles southeast from Alamosa. The aircraft was carrying one pilot, a flight paramediand a flight nurse to pick up a patient in Alamosa. The pilot's failure to maintain clearance from mountainous terrain. Contributing to the accident was the pilot's inadequate preflight planning, improper in-flight planning and decision making, the dark night, and the controller's failure to issue a safety alert to the pilot."
10,10/4/07,2007,22:20,"Alamosa, Colorado",SceniAir Tours,,Beechcraft King Air C90A,3,3,"While attempting to take off, the cargo plane crashed into a Congolese neighborhood and caught fire about three miles from the airport. The plane's mechaniwas the only survivor aboard the plane."
10,10/7/07,2007,20:00,"White Pass, Washington",Kapowsin Air Sports,"Star, ID - Shelton, WA",Cessna 208 Caravan,10,10,"The parachutists had gone to Boise for a skydiving meet and were returning to Shelton when the plane crashed in rugged mountain territory. Radar shows the plane was at about 13,000 feet when it reached the Tieton River valley. The plane then turned around 360 degrees, then lost about 7,000 feet-per-minute before it disappeared. Reports indicate the pilot faced low clouds and low-level turbulence before the accident."
10,10/8/07,2007,15:30,"Near Cubarral, Colombia",Nacional de Aviacion,Villavicencio - Uribe,Let 410 UVP-E10A,18,18,Disappeared while en route.
10,11/4/07,2007,14:10,"Sao Paulo, Brazil",Reali Taxi Aereo,Sao Paulo - Rio de Janeiro,Learjet 35A,2,2,"The executive jet took off, banked to the right and crashed to the ground striking two houses. The copilot failed to complete the checklist and filled only the right wing fuel tank. By the time they took off it was too late to fix the imbalance with the balancing pump to distriblue fuel evenly in both wings. The plane banked to the right until it stalled and crashed."
10,11/8/07,2007,8:00,"Khartoum, Sudan",Juba Air Cargo,Khartoum - Juba,Antonov 12,4,0,"While taking off, an engine on the cargo plane failed after the plane hit a hawk. The aircraft tried to return to the airport but crashed. The plane was transporting goods and foodstuffs for traders and international organizations in Juba. Two Sudanese soldiers were killed on the ground."
10,11/30/07,2007,1:36,"Near Isparta, Turkey",Atlasjet Airlines,Istanbul - Isparta,McDonnell Douglas MD-83,57,57,"While making an approach to land, the passenger plane struck a mountaintop and broke apart, 7.5 miles from Isparta Airport. The crew did not follow rules during landing, which led to a collision/accident."
12,12/3/07,2007,17:18,"Off Whittier, Alaska","Evergreen Alaska Helicopters, Inc.",Cordova - Ancorage,Eurocopter Deutschland BK117C1,4,4,"Crashed into the sea while en route. The pilot's decision to continue VFR flight into night instrument meteorological conditions. Contributing to the accident were the operator's failure to adhere to an FAA-approved and mandated safety risk management program, the FAA's failure to provide sufficient oversight of the operator to ensure they were in compliance with the risk management program, the pilot's lack of experience in night winter operations in Alaska, and the operator's lack of an EMS dispatch and flight following system."
12,12/5/07,2007,6:48,"Columbus, Ohio",Castle Aviation,"Columbus, OH - Buffalo, NY",Cessna 208B Caravan I Super Cargomaster,2,2,"The cargo plane crashed into a brushy field, inverted, shortly after taking off in heavy snow. Radar data indicated that it was in a left turn at a ground speed of 109 knots before descending and impacting terrain. The plane was carrying checks and other goods for a banking customer. The pilot's failure to maintain aircraft control and collision avoidance with terrain due to spatial disorientation. Contributing to the accident were low cloud ceiling and night conditions."
12,12/9/07,2007,17:00,"Kiev, Ukraine",Fun Air,HradeKríçloví© - Kiev,Beechcraft King Air C90B,5,5,"The chartered twin engine plane crashed in an open field and slid into a vacant shed, short of the runway, in dense fog. All three passengers and crew of 2 were killed. All 5 were Czech nationals."
1,1/4/08,2008,9:48,"Los Roques, Venezuela",Transaven,Los Rogues - Carac,Let 410 UVP-E3,18,18,The commuter airliner crashed into the sea while en route after the pilot reported engine problems.
1,1/5/08,2008,13:43,"Kodiak, Alaska",Servant Air,Kodiak - Homer,Piper PA-31-350 Navajo,10,6,"The charter aircraft crashed into Kodiak harbor, 50 yards beyond the end of the runway, after taking off from Kodiak Airport.  One of the survivors said a baggage area door opened at the nose of the plane on the pilotäó»s side that prompted the pilot to try to return to the airport. Failure of company maintenance personnel to ensure that the airplane's nose baggage door latching mechanism was properly configured and maintained, resulting in an inadvertent opening of the nose baggage door in flight. Contributing to the accident were the lack of information and guidance available to the operator and pilot regarding procedures to follow should a baggage door open in flight and an inadvertent aerodynamistall."
1,1/12/08,2008,12:00,"Blace, Macedonia",Military - Macedonian Air Force,"Bosnia - Skopje, Macedonia",Mi-17 Helicopter,11,11,The helicopter crashed 15 miles southeast of Skopje in heavy fog while attempting to land. The aircraft was returning from European Union-led peacekeeping operations in Bosnia.
1,1/14/08,2008,5:08,"Off Lihu, Hawaii",Apline Aviation,Lihu - Kauai,Beechcraft 1900C-1,1,1,"The cargo plane was carrying mail when it crashed into the sea, 7 miles south of Lihu. The pilot's spatial disorientation and loss of situational awareness. Contributing to the accident were the dark night and the task requirements of simultaneously monitoring the cockpit instruments and the other airplane."
